program_day,week,action,owner_role,working_asset,prerequisite,completion_evidence,execution_status,actual_date,evidence_url_or_note
50,8,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
51,8,Check sources and linked workflow for ai-voice-agents-property-management; review marketing routes 22-24 from inventory,Content editor + engineer,inventory.csv,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,
52,8,Publish or verify deployed revision of /blog/ai-voice-agents-property-management; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
53,8,Prepare/use owned-channel post 08; evaluate distribution opportunities 15-16,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
54,8,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
55,8,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md,No scenario promoted to proof without real evidence,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
56,8,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
57,9,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
58,9,Check sources and linked workflow for build-ai-voice-agent-small-business; review marketing routes 25-27 from inventory,Content editor + engineer,inventory.csv,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,
59,9,Publish or verify deployed revision of /blog/build-ai-voice-agent-small-business; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
60,9,Day 60 outcome review: compare complete periods; assess enquiries qualified opportunities reviewed inventory distribution and story blockers,Marketing + analytics + sales lead,README.md; inventory.csv; distribution-opportunities.csv,Comparable date windows and verified event definitions,Dated report with raw counts rates coverage and next-month decisions,scheduled_not_executed,,
61,9,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
62,9,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md,No scenario promoted to proof without real evidence,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
63,9,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
64,10,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
65,10,Check sources and linked workflow for ai-voice-agent-security-data-privacy; review marketing routes 28-30 from inventory,Content editor + engineer,inventory.csv,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,
66,10,Publish or verify deployed revision of /blog/ai-voice-agent-security-data-privacy; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
67,10,Prepare/use owned-channel post 10; evaluate distribution opportunities 19-20,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
68,10,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
69,10,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md,No scenario promoted to proof without real evidence,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
70,10,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
71,11,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
72,11,Check sources and linked workflow for retell-ai-alternatives; review marketing routes 31-33 from inventory,Content editor + engineer,inventory.csv,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,
73,11,Publish or verify deployed revision of /blog/retell-ai-alternatives; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
74,11,Use owned-channel post 11; follow up only where invited or permitted; record actual distribution outcomes,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
75,11,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
76,11,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md,No scenario promoted to proof without real evidence,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
77,11,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
78,12,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
79,12,Check sources and linked workflow for vapi-alternatives; review marketing routes 33-33 from inventory,Content editor + engineer,inventory.csv,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,
80,12,Publish or verify deployed revision of /blog/vapi-alternatives; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
81,12,Use owned-channel post 12; follow up only where invited or permitted; record actual distribution outcomes,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
82,12,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
83,12,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md,No scenario promoted to proof without real evidence,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
84,12,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
85,13,Reconcile the full inventory: all90 blogs33 scenarios and current marketing routes need an explicit decision,Program owner,All program files,Actual execution evidence,Dated decision/report with unresolved items retained honestly,scheduled_not_executed,,
86,13,Check all20 distribution statuses against actual submission URLs or documented holds; remove dead opportunities,Program owner,All program files,Actual execution evidence,Dated decision/report with unresolved items retained honestly,scheduled_not_executed,,
87,13,Review the three story briefs with evidence owner; complete only stories with approved sources and permission,Program owner,All program files,Actual execution evidence,Dated decision/report with unresolved items retained honestly,scheduled_not_executed,,
88,13,Verify final buyer-resource links cost assumptions and consent-based nurture setup; update stale sources,Program owner,All program files,Actual execution evidence,Dated decision/report with unresolved items retained honestly,scheduled_not_executed,,
89,13,Prepare Day90 report using complete observation windows; distinguish modelled costs from measured outcomes,Program owner,All program files,Actual execution evidence,Dated decision/report with unresolved items retained honestly,scheduled_not_executed,,
90,13,Deliver Day90 report: business outcomes technical state content decisions distribution results remaining dependencies and next-quarter priorities,Program owner,All program files,Actual execution evidence,Dated decision/report with unresolved items retained honestly,scheduled_not_executed,,
